epoch,loss,reconst_loss,kl_loss,val_loss,val_reconst_loss,val_kl_loss
0,42.53586196899414,40.821800231933594,1.7140110731124878,38.83857727050781,36.69657897949219,2.1419992446899414
1,34.05656814575195,32.19247817993164,1.864094614982605,34.45603942871094,32.507381439208984,1.948659062385559
2,32.913787841796875,31.200969696044922,1.7128167152404785,34.474449157714844,32.369728088378906,2.1047205924987793
3,32.72909927368164,30.981311798095703,1.7477760314941406,33.999942779541016,32.16832733154297,1.8316175937652588
4,32.541805267333984,30.833616256713867,1.7081866264343262,33.99623107910156,32.53306579589844,1.4631664752960205
5,32.40256881713867,30.667146682739258,1.7354302406311035,33.748878479003906,32.16770553588867,1.581175684928894
6,32.24702453613281,30.54879379272461,1.6982306241989136,33.53691482543945,31.92290496826172,1.614008903503418
7,32.085670471191406,30.390317916870117,1.695349097251892,33.562835693359375,31.849876403808594,1.7129578590393066
8,31.880464553833008,30.097700119018555,1.7827805280685425,33.15364074707031,31.107500076293945,2.0461416244506836
9,30.86342430114746,28.55910301208496,2.304321527481079,31.80281639099121,29.62055206298828,2.1822688579559326
10,30.434194564819336,28.16570472717285,2.268493413925171,31.666038513183594,29.46807861328125,2.1979615688323975
11,30.235584259033203,28.042436599731445,2.1931240558624268,31.422203063964844,29.191017150878906,2.2311906814575195
12,30.125003814697266,27.966676712036133,2.158302068710327,31.291175842285156,29.24601173400879,2.045163154602051
13,30.04961585998535,27.939085006713867,2.1105480194091797,31.33085823059082,29.15277099609375,2.1780805587768555
14,29.94709587097168,27.878610610961914,2.068481206893921,31.125728607177734,29.014570236206055,2.111157178878784
15,29.886943817138672,27.83885383605957,2.048081159591675,31.130144119262695,28.96334457397461,2.1668057441711426
16,29.872982025146484,27.836280822753906,2.0366837978363037,31.36543083190918,29.25423240661621,2.1111958026885986
17,29.820547103881836,27.794424057006836,2.0261332988739014,31.081769943237305,28.91448974609375,2.1672797203063965
18,29.784687042236328,27.769590377807617,2.015103340148926,30.97732162475586,28.912649154663086,2.0646727085113525
19,29.787818908691406,27.780025482177734,2.0077998638153076,30.91280174255371,28.97831916809082,1.9344770908355713
20,29.743867874145508,27.740388870239258,2.00350284576416,31.237077713012695,29.30473518371582,1.932341456413269
21,29.73049545288086,27.752975463867188,1.9775246381759644,30.80748748779297,28.916215896606445,1.8912672996520996
22,29.71827507019043,27.740530014038086,1.9777462482452393,30.98466682434082,29.124582290649414,1.8600878715515137
23,29.68653678894043,27.71561622619629,1.9709278345108032,30.895198822021484,28.878950119018555,2.016249418258667
24,29.68880271911621,27.700618743896484,1.9882115125656128,30.81646728515625,28.85891342163086,1.9575530290603638
25,29.66508674621582,27.67778778076172,1.9873214960098267,31.091278076171875,29.02691650390625,2.064364433288574
26,29.668319702148438,27.691713333129883,1.9765974283218384,31.139705657958984,29.27897834777832,1.8607237339019775
27,29.70058822631836,27.719148635864258,1.9814404249191284,30.883615493774414,28.904541015625,1.9790769815444946
28,29.66848373413086,27.693286895751953,1.9752217531204224,30.92333984375,28.69314956665039,2.2301905155181885
29,29.648794174194336,27.657424926757812,1.9913694858551025,31.14092254638672,29.245262145996094,1.895662784576416
30,29.662376403808594,27.68685531616211,1.9755200147628784,30.850711822509766,28.846195220947266,2.0045201778411865
31,29.6324462890625,27.652809143066406,1.9796278476715088,30.858076095581055,28.89531135559082,1.9627604484558105
