epoch,loss,mse,val_loss,val_mse
0,0.8069912791252136,0.8069919347763062,0.799066960811615,0.7990668416023254
1,0.7565250992774963,0.7565257549285889,0.7626445889472961,0.7626446485519409
2,0.6977946758270264,0.6977948546409607,0.6808575391769409,0.6808574199676514
3,0.6347441077232361,0.6347441673278809,0.6378674507141113,0.6378673911094666
4,0.5865340828895569,0.5865342020988464,0.5895588994026184,0.5895588397979736
5,0.5450944304466248,0.5450943112373352,0.5554044246673584,0.5554043650627136
6,0.5189168453216553,0.5189167261123657,0.5318640470504761,0.5318639874458313
7,0.49495235085487366,0.494952529668808,0.503728985786438,0.5037290453910828
8,0.46804752945899963,0.4680474102497101,0.4765605330467224,0.4765605628490448
9,0.44590750336647034,0.44590747356414795,0.4548324942588806,0.4548324644565582
10,0.42690372467041016,0.42690402269363403,0.43501463532447815,0.43501466512680054
11,0.40681806206703186,0.4068180322647095,0.41412490606307983,0.41412487626075745
12,0.3880663812160492,0.38806647062301636,0.39401787519454956,0.3940178453922272
13,0.3715711832046509,0.3715711236000061,0.37654727697372437,0.3765472173690796
14,0.3589119613170624,0.35891193151474,0.3626382350921631,0.3626382052898407
15,0.34438255429267883,0.34438249468803406,0.34672313928604126,0.3467230796813965
16,0.3275159001350403,0.32751595973968506,0.3324878513813019,0.3324878513813019
17,0.3113899230957031,0.31138989329338074,0.3145313560962677,0.3145313560962677
18,0.2981395423412323,0.29813966155052185,0.301055908203125,0.3010558784008026
19,0.2860291004180908,0.28602907061576843,0.2909785211086273,0.2909785211086273
20,0.2760128974914551,0.2760128676891327,0.28104305267333984,0.28104305267333984
21,0.2682546377182007,0.26825472712516785,0.2747093439102173,0.27470943331718445
22,0.2633627653121948,0.26336297392845154,0.27078258991241455,0.2707825303077698
23,0.25943607091903687,0.2594361901283264,0.2687362730503082,0.2687363028526306
24,0.25732630491256714,0.2573263347148895,0.2671421766281128,0.2671421766281128
25,0.2546459436416626,0.2546461224555969,0.2646133303642273,0.2646133303642273
26,0.25112855434417725,0.25112852454185486,0.259674996137619,0.259674996137619
27,0.2407846599817276,0.2407846748828888,0.24735814332962036,0.24735809862613678
28,0.22775796055793762,0.22775821387767792,0.23507174849510193,0.23507173359394073
29,0.2169291377067566,0.2169293463230133,0.21944324672222137,0.21944323182106018
30,0.2044033706188202,0.2044033706188202,0.2078462839126587,0.2078462690114975
31,0.19426201283931732,0.19426211714744568,0.1971619427204132,0.1971619576215744
32,0.184297114610672,0.1842971295118332,0.1889290064573288,0.1889290064573288
33,0.17907103896141052,0.17907103896141052,0.18391409516334534,0.18391412496566772
34,0.17209987342357635,0.17209990322589874,0.17282839119434357,0.17282837629318237
35,0.16104485094547272,0.16104479134082794,0.16512201726436615,0.16512201726436615
36,0.15625400841236115,0.15625405311584473,0.16295860707759857,0.16295862197875977
37,0.15480491518974304,0.15480495989322662,0.16241590678691864,0.16241590678691864
